Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8076650106458482,0.8418171484667649,0.660436137071651,0.5668449197860963,0.6100719424460431,0.485892062445952
Decision Tree,0.7984386089425124,0.830278488206877,0.6347305389221557,0.5668449197860963,0.5988700564971752,0.4661721663080828
kNN,0.7934705464868701,0.8286793768890954,0.6130790190735694,0.6016042780748663,0.6072874493927125,0.46723686710308837
Naive Bayes,0.694819020581973,0.807419463173939,0.45894428152492667,0.8368983957219251,0.5928030303030303,0.4244518964900018
Random Forest,0.8055358410220014,0.8443475677491022,0.676056338028169,0.5133689839572193,0.5835866261398176,0.46722693859268233
