Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,MCC_Mean,MCC_Std
Logistic Regression,0.8026283646519076,0.01314353813366454,0.8462233912249113,0.014118631974172255,0.6536211337780141,0.028031010091944506,0.5451505016722409,0.04688242732065616,0.5938251666539754,0.03388101296282751,0.46876512089136807,0.040033963711987926
Decision Tree,0.7914471371991533,0.011190058778727426,0.8289298601512447,0.01229942465037339,0.6344993339663778,0.03393280507888786,0.5130434782608695,0.060598831932316695,0.5648998855003258,0.03443280439988896,0.4358931210400475,0.03322357069718332
kNN,0.7889612467119831,0.011321948831133584,0.833045496507791,0.009633694137869755,0.6065162175289502,0.022465356712698028,0.5832775919732442,0.02263401246245974,0.5946014338334604,0.02136942913063246,0.4522445557821196,0.028947788143641604
Naive Bayes,0.6966639926493418,0.010130611806605674,0.8212113111462344,0.013315842015169521,0.4612334905090396,0.009701601438210245,0.8481605351170568,0.02395452117654846,0.5974059607098476,0.010445708780287326,0.433092406405009,0.018157793485577705
Random Forest,0.8056461691943749,0.01123785252542496,0.8474024753801912,0.010411241067362315,0.6791379501102315,0.03690551547702395,0.5103678929765887,0.02348292933985545,0.5822248687126053,0.02064562022483666,0.4672323342069296,0.029335549494656228
